VehicleID,ActivityDateTimeEST,UniqueVIN ,Last_Event,Last_EventTime,Latitude_Last,Last_Longitude,Last_Vendor,Reactvation_Event,Reactivatiopn_EventTime,Reactvation_Latitude,Reactivation_Longitude,Reactivation vendor,Final_check,Inactivity(hours),Inactivity(days)
01CE6A57-5AF7-4F66-8987-B7140BD0D131,2018-09-04,1FDSE35P15HA75621,84,2018-09-04 08:18:11,40.8096118,-73.88486479999997,NYC DOE - LOGAN FAMILY,84.0,2018-09-04 08:18:11,40.8096118,-73.88486479999997,NYC DOE - LOGAN FAMILY,0,72.00194444444445,3.0
01F84277-956E-4B9D-9E6E-965890188E3C,2018-09-12,1GDHG31FX21200900,177,2018-09-12 20:34:50,40.6855123,-73.78277259999999,NYC DOE - LOGAN FAMILY,3.0,2018-09-12 06:48:18,40.6652268,-73.79311679999998,NYC DOE - LOGAN FAMILY,0,50.65555555555556,2.0
0451F538-3888-440C-B85E-9B90F0BE337F,2018-09-24,1FDWE35F03HB61671,4,2018-09-24 16:44:34,40.8552478,-73.8400791,NYC DOE - LOGAN FAMILY,3.0,2018-09-24 06:22:06,40.8549558,-73.8405418,NYC DOE - LOGAN FAMILY,0,61.79388888888889,3.0
0451F538-3888-440C-B85E-9B90F0BE337F,2018-09-30,1FDWE35F03HB61671,176,2018-09-28 16:29:41,40.883917333333294,-73.840009,NYC DOE - LOGAN FAMILY,,,,,,1,55.505,2.0
0451F538-3888-440C-B85E-9B90F0BE337F,2018-09-13,1FDWE35F03HB61671,4,2018-09-13 15:19:35,40.8549436,-73.8404735,NYC DOE - LOGAN FAMILY,3.0,2018-09-13 07:11:33,40.8549436,-73.8404735,NYC DOE - LOGAN FAMILY,0,160.47972222222222,7.0
0451F538-3888-440C-B85E-9B90F0BE337F,2018-09-17,1FDWE35F03HB61671,4,2018-09-17 16:29:32,40.8551235,-73.84005529999997,NYC DOE - LOGAN FAMILY,3.0,2018-09-17 06:36:12,40.8144696,-73.90471409999998,NYC DOE - LOGAN FAMILY,0,71.07194444444444,3.0
0A791EAA-48BF-45C9-9A23-FE3F690D3379,2018-09-30,1GDHG31F221167486,177,2018-09-15 17:23:29,40.8164343,-73.8445443,NYC DOE - LOGAN FAMILY,,,,,,1,366.60833333333335,15.0
0A791EAA-48BF-45C9-9A23-FE3F690D3379,2018-09-12,1GDHG31F221167486,4,2018-09-12 07:07:30,40.8164343,-73.8445443,NYC DOE - LOGAN FAMILY,3.0,2018-09-12 06:12:17,40.8164343,-73.8445443,NYC DOE - LOGAN FAMILY,0,65.68083333333334,3.0
0F9AB554-163A-41D2-8E91-E99AF3711849,2018-09-17,1GBJG316991150446,4,2018-09-17 16:01:39,40.8439626,-73.88286059999999,NYC DOE - HOYT,3.0,2018-09-17 04:18:23,40.8145098,-73.9208818,NYC DOE - HOYT,0,60.91138888888889,3.0
0F9AB554-163A-41D2-8E91-E99AF3711849,2018-09-24,1GBJG316991150446,4,2018-09-24 15:53:09,40.8774251,-73.88296,NYC DOE - HOYT,3.0,2018-09-24 04:58:29,40.8144351,-73.9220453,NYC DOE - HOYT,0,61.43361111111111,3.0
0F9AB554-163A-41D2-8E91-E99AF3711849,2018-09-12,1GBJG316991150446,4,2018-09-12 15:34:17,40.84388060000001,-73.8828861,NYC DOE - HOYT,3.0,2018-09-12 04:31:38,40.8144648,-73.92211879999998,NYC DOE - HOYT,0,108.0875,5.0
0F9AB554-163A-41D2-8E91-E99AF3711849,2018-09-30,1GBJG316991150446,4,2018-09-28 15:28:42,40.8774251,-73.882855,NYC DOE - HOYT,,,,,,1,56.521388888888886,2.0
11A11B32-872C-4AB7-9C45-E23F67E48CFE,2018-09-11,4DRBUAAN7BB310310,15,2018-09-11 09:05:00,40.7206275,-73.99241009999999,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-11 08:55:48,40.7206275,-73.99241009999999,NYC DOE - BORO/CONSOLIDATED/SNT,0,91.5575,4.0
11A11B32-872C-4AB7-9C45-E23F67E48CFE,2018-09-30,4DRBUAAN7BB310310,177,2018-09-17 19:15:34,40.7262385,-73.7912703,NYC DOE - BORO/CONSOLIDATED/SNT,,,,,,1,316.7402777777778,13.0
12AC59DA-BB5A-449E-897B-DCB6DD5D5A5C,2018-09-30,1GBHG316891171318,177,2018-09-28 08:50:35,40.6740853,-74.00919609999998,NYC DOE - JOFAZ/THIRD AVE/Y&M,,,,,,1,63.156666666666666,3.0
178761D2-8451-4C1F-812D-4B21515D4E56,2018-09-30,1GB3GRBF3H1205403_md2,84,2018-09-18 08:31:09,40.6757078,-73.75593609999999,NYC DOE - TWENTY FIRST AVE,,,,,,1,303.48055555555555,13.0
1B9F8352-5E09-45EE-9213-49A2C4F2BD0A,2018-09-30,1FDSE35P65HB32010,106,2018-09-04 06:41:48,40.639263,-74.1283033,NYC DOE - RELIANT/MV,,,,,,1,641.3030555555556,27.0
1DB56C60-3D89-4A78-AF4B-820968DCFEB0,2018-09-17,4DRBUAAN86B231413,4,2018-09-17 15:38:31,40.8249678,-73.8411228,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-17 06:00:21,40.8215238,-73.8455816,NYC DOE - BORO/CONSOLIDATED/SNT,0,62.25138888888889,3.0
1DB56C60-3D89-4A78-AF4B-820968DCFEB0,2018-09-11,4DRBUAAN86B231413,84,2018-09-11 16:24:49,40.8212511,-73.8415435,NYC DOE - BORO/CONSOLIDATED/SNT,84.0,2018-09-11 16:24:49,40.8212511,-73.8415435,NYC DOE - BORO/CONSOLIDATED/SNT,0,96.00722222222223,4.0
